Kitap İsmi,Yazar
İncir Kuşları Midi Boy,Sinan Akyüz
Hobbit Özel Ciltli Baskı,J. R. R. Tolkien
O Kız Ben Değilim,Joy Fielding
Cress,Marissa Meyer
Theta Healing Sıra Dışı Enerji Yaklaşımına Giriş,Vianna Stibal
Don Quijote 2 Cilt Takım Kutulu,Miguel de Cervantes
Ölüme Fısıldayan Adam Özel Baskı,Büşra Yılmaz
Karamsar Bir Huysuzun Günlüğü,Tim Collins
Uzaktan Kumandalı Kız,James Tiptree Jr.
Kağnı Ses Esirler,Sabahattin Ali
Selvi Boylum Al Yazmalım,Cengiz Aytmatov
Aşk Köpekliktir Midi Boy,Ahmet Ümit
Bin Hüzünlü Haz,Hasan Ali Toptaş
Erik Ağacı,Ellen Marie Wiseman
Ozan Beedle’ın Hikayeleri,J. K. Rowling
Allah’ın Elçisi Hz. Muhammed’in Hayatı 1-2 Tek Cilt,Salih Suruç
Mavi Bisiklet - Atıl'ın Maceraları 2,İbrahim Örs
Çocuklar İçin Beş Sevgi Dili,Gary Chapman
Hay Bin Yakzan,İbn Tufeyl
Aşk ve Ölüm Şarkıları,George R. R. Martin
Adım Adım Hayata - Bir Genç Kızın Gizli Defteri 4,İpek Ongun
Beyin,David Eagleman
Küçük Ağa,Tarık Buğra
Od Midi Boy,İskender Pala
Yusuf ile Züleyha,Nazan Bekiroğlu
İşte Hayat - Bir Genç Kızın Gizli Defteri 5,İpek Ongun
Cehenneme Övgü,Gündüz Vassaf
Kavuşma: Piruze ve Oğulları,Sinan Akyüz
Gelmiş Bulundum,Edip Cansever
Yalnızlıklar,Hasan Ali Toptaş
Üç Anadolu Efsanesi,Yaşar Kemal
Dönüşüm,Franz Kafka
Yeni Hayat,Orhan Pamuk
Çağlar Boyu Quidditch,Kennilworthy Whisp
Heba - Cep Boy,Hasan Ali Toptaş
Elveda Güzel Vatanım,Ahmet Ümit
Suskunlar,İhsan Oktay Anar
Kalpsiz,Marissa Meyer
Seni Anlıyorum Çocuk,Dilek Cesur
Allah Cümlemizi Korusun,Bekir Develi
Şah ve Sultan Midi Boy,İskender Pala
Pişirmeye Var Mısın Breaking Bad Rehber Kitabı,Ensley F. Guffey
Dünya Okulu - Eğitimi Yeniden Düşünmek,Salman Khan
Uzak Yıldızlar,Marissa Meyer
Şüpheci Zihinler,Rob Brotherton
Bana Seni Seviyorum Deme Sev,Miraç Çağrı Aktaş
Çocukluğun Sonu,Arthur C. Clarke
Şimdi Düğün Zamanı - Bir Genç Kızın Gizli Defteri 6,İpek Ongun
Yeraltından Notlar,Fyodor Mihayloviç Dostoyevski
Doppler,Erlend Loe
Kolay Piyano 1,Sevinç Ereren
Zamanı Durdurmanın Yolları,Matt Haig
Eğlenceli Bilimsel Deneyler 1,Tomislav Sencanski
Ağladı ve Gözyaşlarını Öptüm,Aytuğ Akdoğan
Bize Bıraktığın Sözler,Brooke
Ansiklopedik Divan Şiiri Sözlüğü,İskender Pala
İnsanları Okumak,Jo-Ellan Dimitrius
"Fantastik Canavarlar Nelerdir, Nerede Bulunurlar?",J. K. Rowling
İnsan Vücuduna Seyahat,Gavin Francis
Deli Ciltsiz,Gülsen Kılıçaslan
Mahremiyet Eğitimi,Adem Güneş
Hünkarım,Bahadır Yenişehirlioğlu
Hakkari'de Bir Mevsim,Ferit Edgü
Yolunu Kaybeden Anıların Bekçisi,Ruth Hogan
Hayat Devam Ediyor - Bir Genç Kızın Gizli Defteri 7,İpek Ongun
4. Maymun,J. D. Barker
Fırtınada Yanacaksın,John Verdon
Panik Yok! - Saftirik Greg’in Günlüğü 6,Jeff Kinney
